Id_bien;Type_bien ;No_voie;Type_de_voie;Voie;Code_type_de_voie;Code_voie;id_Commune
26740;Appartement;58;RUE;DE LONDRES;0;5741;75106
26741;Appartement;15;RUE;DU JOUR;0;5033;75106
26742;Appartement;12;RUE;DE MOSCOU;0;6573;75106
26743;Appartement;101;RUE;DE MIROMESNIL;0;6387;75106
26744;Appartement;62;RUE;PIERRE CHARRON;0;7420;75105
26745;Appartement;13;PL;DE LA REPUBLIQUE;12;8159;75105
26746;Appartement;26;RUE;RAMBUTEAU;0;8009;75106
26747;Appartement;50;RUE;DU VERTBOIS;0;9711;75106
26748;Appartement;62;RUE;CHAPON;0;1771;75107
26749;Appartement;89;RUE;SAINT DENIS;0;8525;75106
26750;Appartement;9;RUE;GRENETA;0;4318;75106
26751;Appartement;7;RUE;GRENETA;0;4318;75106
26752;Appartement;56;RUE;CHAPON;0;1771;75105
26753;Appartement;68;RUE;DES GRAVILLIERS;0;4302;75107
26754;Appartement;49;AV;MONTAIGNE;1;6450;75105
26755;Appartement;15;RUE;DU GRAND VENEUR;0;4290;75107
26756;Appartement;176;RUE;DU TEMPLE;0;9191;75105
26757;Appartement;5;RUE;BLONDEL;0;1021;75105
26758;Appartement;13;RUE;SAINT GERMAIN L AUXERROIS;0;8623;75107
26759;Appartement;24;PL;DAUPHINE;12;2594;75105
26760;Appartement;23;RUE;DE ROME;0;8339;75107
26761;Appartement;9;RUE;DE FLORENCE;0;3682;75106
26762;Appartement;43;RUE;VOLTA;0;9905;75107
26763;Appartement;10;RUE;DES COUTURES SAINT GERVAIS;0;2412;75105
26764;Appartement;5;RUE;ANDRIEUX;0;337;75106
26765;Appartement;67;RUE;NOTRE DAME DE NAZARETH;0;6834;75106
26766;Appartement;89;RUE;D AMSTERDAM;0;300;75105
26767;Appartement;5;RUE;DES HAUDRIETTES;0;4483;75107
26768;Appartement;17;RUE;DARU;0;2576;75105
26769;Appartement;6;RUE;DE POITOU;0;7572;75107
26770;Appartement;11;RUE;VIGNON;0;9804;75107
26771;Appartement;19;BD;DES BATIGNOLLES;15;719;75105
